Property_ID,Listing_Date,City,Locality,Property_Type,BHK,Built_Up_Area_sqft,Carpet_Area_sqft,Age_Years,Floor,Total_Floors,Bathrooms,Parking_Spaces,Furnishing_Status,Facing,Gated_Community,Distance_to_Metro_km,Distance_to_CBD_km,Nearby_Schools,Crime_Index,Amenities_Score,Monthly_Maintenance_INR,Seller_Type,Loan_Available,Annual_Property_Tax_INR,Price_Lakhs
PROP-10135,2025-06-10,Hyderabad,Madhapur,Apartment,4,1554.6,1259.6,7,16,22,5,2,Semi-Furnished,West,Yes,4.83,19.95,10,36.3,6.3,7610,Broker,Yes,28400,128.43
PROP-10136,2025-11-08,Hyderabad,Kukatpally,Apartment,2,1092.4,797.5,0,2,16,3,1,Furnished,West,Yes,4.62,24.99,0,38.8,8.8,4320,Builder,Yes,35500,113.2
PROP-10137,2026-02-24,Pune,Baner,Independent House,2,1176.5,896.3,11,2,4,1,0,Semi-Furnished,North,Yes,8.9,1.0,4,27.2,6.6,2790,Broker,Yes,40800,83.94
PROP-10138,2026-08-16,Delhi NCR,Faridabad,Apartment,4,2036.3,1454.5,,7,8,4,2,Furnished,South,No,9.53,24.92,8,42.7,9.2,7510,Owner,No,50800,106.19
PROP-10139,2025-08-11,Chennai,OMR,Apartment,3,1794.7,1344.6,3,8,16,3,3,Furnished,West,No,7.7,20.76,11,11.3,5.4,7030,Builder,Yes,53900,130.57
PROP-10140,2025-02-27,Bengaluru,Electronic City,Studio,1,581.8,463.7,18,Ground,3,1,1,Semi-Furnished,South-East,Yes,3.79,6.71,8,11.9,6.3,2810,Owner,Yes,14800,68.71
PROP-10141,2026-02-01,Chennai,Velachery,Studio,1,623.2,430.8,5,2nd,2,1,0,Furnished,South-East,Yes,5.57,23.47,6,44.2,10,2990,Builder,Yes,24100,54.59
PROP-10142,2025-09-28,Delhi NCR,Gurugram,Apartment,2,770.9,610.3,12,24,24,3,1,SEMI-FURNISHED,South-East,No,0.2,12.3,10,51.6,10,3520,Builder,Yes,21300,98.2
PROP-10143,2025-12-06,Pune,Wakad,Apartment,3,1623.6,1375.4,8,15,20,4,1,Unfurnished,South-East,Yes,5.19,17.88,1,44.1,6.1,6330,Owner,Yes,58600,107.52
PROP-10144,2026-06-05,Pune,Baner,Studio,1,926.0,767.0,10,1,4,2,2,Unfurnished,North,Yes,4.75,6.78,1,74.1,5.3,2770,Broker,Yes,23000,71.74
PROP-10145,2025-12-06,Hyderabad,Kondapur,Apartment,2,1465.5,1200.6,21,1,5,2,2,Semi furnished ,North,Yes,8.02,1.0,11,45.6,4.4,7750,Broker,Yes,42500,94.75
PROP-10146,2026-03-25,Hyderabad,Gachibowli,Apartment,2,1102.6,801.1,0,1,2,3,0,Semi-Furnished,North,No,7.81,4.16,1,29.3,,3320,Owner,Yes,27300,96.28
PROP-10147,2026-02-27,Chennai,OMR,Apartment,3,1731.9,1426.3,15,4,10,3,3,Unfurnished,North-East,Yes,8.96,15.87,6,5,6.1,5310,Broker,No,43600,124.59
PROP-10148,2026-04-07,Hyderabad,Manikonda,Independent House,2,965.8,,14,4,4,1,1,Unfurnished,North,Yes,,1.0,5,22.9,9.2,2270,Owner,No,24800,113.28
PROP-10149,2025-05-24,Pune,Hadapsar,Apartment,3,1799.8,1278.5,0,13,15,3,2,Unfurnished,South-East,Yes,1.25,14.45,12,35.1,9.6,4710,Owner,Yes,63900,159.04
PROP-10150,2026-01-08,Pune,Hinjewadi,Independent House,4,2807.9,2228.6,13,Ground,2,5,1,Furnished,North-East,Yes,0.79,14.55,3,26.9,9.3,14040,Builder,Yes,52100,207.25
PROP-10151,2025-11-28,Pune,Hadapsar,Villa,4,,1836.2,13,2,2,4,0,Semi-Furnished,South,Yes,,15.01,3,13.8,6.8,7890,Broker,No,41000,209.19
PROP-10152,2025-10-15,Hyderabad,Madhapur,Apartment,3,1472.1,1100.9,1,4,5,3,1,Furnished,North-East,Yes,7.84,16.14,12,28.6,4.5,5530,Builder,Yes,29200,120.12
PROP-10153,2026-06-14,Hyderabad,Madhapur,Apartment,4,1982.8,1466.2,2,30,31,4,1,Semi-Furnished,West,Yes,8.95,15.95,2,54.7,9.0,10150,Builder,Yes,79600,147.43
PROP-10154,2025-07-27,Hyderabad,Madhapur,Independent House,2,907.7,716.4,0,4,4,2,2,Furnished,South,Yes,5.48,9.27,10,41.3,6.0,3690,Builder,Yes,18700,112.53
PROP-10155,2026-05-09,DELHI NCR,Faridabad,Independent House,3,1814.6,1429.8,24,Ground,1,3,2,Furnished,North-East,No,9.35,6.21,10,26.8,6.6,9190,Owner,Yes,82400,145.02
PROP-10156,2025-09-25,Chennai,Tambaram,Apartment,2,1221.1,935.2,11,26,35,2,1,Semi-Furnished,North,Yes,11.29,14.12,10,43.3,8.2,4190,Builder,Yes,37600,111.6
PROP-10157,2025-08-08,Bengaluru,HSR Layout,Apartment,5,2708.6,2111.0,12,5,12,6,1,Unfurnished,East,Yes,5.3,6.53,2,56.4,4.9,12510,Owner,Yes,69900,221.81
PROP-10158,2025-01-11,Pune,Hinjewadi,Apartment,5,2054.7,1399.2,13,2nd,28,5,1,Semi-Furnished,South-East,Yes,5.8,23.11,8,39.8,6.0,4520,Broker,Yes,56500,169.3
PROP-10159,2026-07-27,Pune,Hadapsar,Apartment,1,535.7,386.6,3,2nd,3,1,3,Unfurnished,East,No,2.8,19.1,9,42.9,6.0,2390,Broker,Yes,17500,47.91
PROP-10160,2026-08-24,Hyderabad,Manikonda,Independent House,3,2135.3,1607.3,14,1st,1,2,2,Furnished,North-East,No,4.86,3.9,6,30.8,2.5,9930,Broker,Yes,62000,162.62
PROP-10161,2025-07-14,Bengaluru,HSR Layout,Apartment,3,1969.1,1420.5,9,16,23,4,0,Furnished,South,Yes,0.38,20.4,5,74.9,9.3,7220,Owner,No,56800,171.89
PROP-10162,2026-06-08,Delhi NCR,Noida,Apartment,4,2813.7,2336.9,0,5,6,4,1,Semi-Furnished,North-East,No,9.31,17.39,5,29.4,0,14460,Broker,Yes,131200,195.38
PROP-10163,2025-12-18,Hyderabad,Manikonda,Apartment,3,,661.4,18,7,12,2,2,Semi-Furnished,South-East,Yes,3.32,7.42,1,31.9,9.7,2810,Owner,Yes,28300,94.58
PROP-10164,2025-11-20,Chennai,Porur,Apartment,2,1051.0,800.0,0,4,7,2,1,Furnished,South,Yes,0.81,17.35,12,39.7,9.3,2600,Broker,Yes,31100,108.01
PROP-10165,2025-12-30,Bengaluru,Yelahanka,Independent House,1,706.8,508.0,12,1,1,1,1,Semi-Furnished,East,Yes,2.19,16.93,10,52.4,6.9,2840,Owner,Yes,30600,54.38
PROP-10166,2026-01-07,Bengaluru,Whitefield,Apartment,2,1028.6,816.4,12,13,22,3,1,Furnished,North,Yes,,10.13,10,53.5,6.8,4380,Builder,Yes,47000,101.86
PROP-10167,2025-08-23,pune,Baner,Apartment,2,1351.7,1080.2,11,1st,6,1,0,Furnished,West,Yes,8.07,14.66,12,49.5,7.2,5630,Builder,No,34000,81.16
PROP-10168,2026-07-07,Hyderabad,Kondapur,Apartment,3,1932.6,1613.4,5,17,35,4,1,Furnished,South-East,Yes,8.14,6.99,11,32.5,5.5,7410,Owner,Yes,50900,135.68
PROP-10169,2026-03-24,Hyderabad,Madhapur,Apartment,2,1049.2,867.4,9,9,23,2,1,Semi-Furnished,West,No,4.36,13.64,6,48.4,3.1,5020,Owner,Yes,41100,86.29
PROP-10170,2025-01-23,Bengaluru,Marathahalli,Apartment,1,813.6,644.8,,9,18,2,2,Semi-Furnished,North,Yes,4.18,11.05,9,64.1,4.2,3030,Builder,Yes,39600,85.99
PROP-10171,2026-01-26,Hyderabad,Madhapur,Apartment,2,,772.8,9,9,27,2,3,Semi-Furnished,North,Yes,9.3,1.0,0,40.3,9.2,4420,Builder,No,27200,121.73
PROP-10172,2025-08-12,Hyderabad,Kukatpally,Apartment,5,3640.3,2605.9,9,7,14,5,2,Unfurnished,East,Yes,3.34,11.92,8,15.8,5.7,15420,Builder,No,141000,253.59
PROP-10173,2025-08-27,Hyderabad,Kukatpally,Apartment,2,1034.4,850.3,26,9,31,2,2,Unfurnished,West,Yes,0.2,2.52,12,38.0,6.7,4400,Owner,Yes,21700,65.86
PROP-10174,2026-06-03,Bengaluru,Marathahalli,Villa,2,952.5,712.5,39,3rd,3,2,1,,West,Yes,2.33,21.09,8,11.1,8.5,3400,Broker,Yes,32500,78.69
PROP-10175,2025-04-20,Hyderabad,Gachibowli,Apartment,2,929.0,642.3,4,6,25,3,2,Semi-Furnished,South,Yes,2.72,22.49,1,61.3,8.9,2000,Broker,Yes,17400,100.84
PROP-10176,2025-08-10,Delhi NCR,Faridabad,Apartment,3,1761.1,1278.6,31,5,32,3,2,Unfurnished,North-East,No,8.15,23.54,12,23.1,4.7,5160,Builder,Yes,49900,85.43
PROP-10177,2025-12-27,Hyderabad,Kondapur,Apartment,2,909.0,720.4,8,23,27,1,2,Semi-Furnished,South-East,Yes,1.33,1.01,2,47.3,4.8,3420,Owner,Yes,29400,54.25
PROP-10178,2025-10-10,Delhi NCR,Faridabad,Villa,3,1256.9,1018.9,1,2,3,3,3,Unfurnished,North,No,2.13,6.53,4,31.1,10,3460,Builder,Yes,57200,171.67
PROP-10179,2026-09-02,Pune,Hadapsar,Independent House,2,1222.2,861.6,11,Ground,2,2,2,Unfurnished,West,Yes,5.07,16.25,5,44.6,6.0,5980,Owner,Yes,44700,116.92
PROP-10180,2026-04-02,Bengaluru,Whitefield,Independent House,2,1129.9,947.3,0,2,2,3,2,Semi-Furnished,South-East,Yes,7.85,12.81,8,46.4,5.6,5020,,Yes,55900,111.56
PROP-10181,2025-09-06,Pune,Hinjewadi,Apartment,2,970.7,674.5,12,4,4,2,1,Semi-Furnished,West,No,6.01,16.25,8,47.1,7.6,3880,Owner,No,27300,68.69
PROP-10182,2025-06-01,Delhi NCR,Gurugram,Apartment,2,885.3,660.2,12,5,20,2,1,Furnished,West,Yes,7.62,1.0,3,55.3,7.8,4120,Broker,Yes,19100,94.31
PROP-10183,2026-04-22,Chennai,OMR,Apartment,4,2048.3,1515.2,17,3,14,4,1,Semi-Furnished,South,Yes,3.22,7.57,10,29.9,6.9,4530,Builder,Yes,48200,158.63
PROP-10184,2025-12-27,Hyderabad,Madhapur,Independent House,1,656.1,548.6,6,1,1,2,1,Unfurnished,North-East,No,2.87,3.24,0,32.6,5.7,2080,Owner,Yes,17300,83.6
PROP-10185,2025-12-04,Bengaluru,Yelahanka,Apartment,1,644.4,554.2,17,7,18,1,1,Semi-Furnished,South,Yes,0.2,25.51,9,59.0,5.0,2230,Owner,Yes,19400,60.86
PROP-10186,2025-10-08,Pune,Kharadi,Independent House,2,1252.4,,5,2,2,2,1,Semi-Furnished,South-East,Yes,4.53,7.56,11,72.0,8.9,6770,Broker,Yes,41400,105.85
PROP-10187,2025-01-16,Hyderabad,Kondapur,Apartment,3,1382.4,1081.1,5,7,15,2,1,Semi-Furnished,West,Yes,6.91,7.02,10,20.0,10.0,5140,Builder,Yes,26000,130.23
PROP-10188,2026-04-13,Pune,Kharadi,Villa,2,1008.7,854.3,25,3,3,2,1,Unfurnished,South-East,No,4.2,12.2,11,26.3,3.5,4280,Owner,Yes,19100,60.96
PROP-10189,2025-07-04,Hyderabad,Kondapur,Apartment,2,1027.5,794.2,0,1st,4,2,2,Semi-Furnished,East,Yes,0.78,18.02,0,29.2,3.2,3720,Owner,Yes,30800,109.22
PROP-10190,2025-06-24,Hyderabad,Kukatpally,Apartment,1,581.3,442.7,23,2nd,6,1,2,,North,Yes,,11.53,11,37.0,4.6,2200,Broker,Yes,15800,56.05
PROP-10191,2026-05-03,Pune,Kharadi,Apartment,2,1057.4,777.6,6,9,29,2,0,Unfurnished,South,Yes,4.85,12.41,7,54.3,5.2,2140,Broker,Yes,31300,55.91
PROP-10192,2026-08-16,Hyderabad,Manikonda,Apartment,3,1685.1,1394.6,36,1,3,4,2,Unfurnished,North,Yes,6.84,9.7,10,47.0,6.6,7500,Owner,Yes,69400,110.44
PROP-10193,2025-10-22,Hyderabad,Madhapur,Apartment,4,2485.2,,40,1,9,4,1,Semi-Furnished,South,Yes,3.59,11.32,11,61.5,,5730,Broker,Yes,91700,135.69
PROP-10194,2025-08-06,Pune,Hadapsar,Apartment,2,930.3,726.8,0,9,12,2,2,Furnished,North,Yes,4.22,1.31,11,48.3,9.3,5110,Owner,Yes,26900,93.09
PROP-10195,2026-07-04,Hyderabad,Madhapur,Apartment,1,604.1,494.2,19,10,22,1,2,Semi-Furnished,North,No,6.95,25.95,10,24.0,6.0,1280,Builder,Yes,17600,20.15
PROP-10196,2025-10-06,Delhi NCR,Gurugram,Independent House,2,1131.0,916.7,5,2nd,3,2,1,Unfurnished,West,Yes,8.55,18.5,6,24.6,7.6,5360,Builder,Yes,44400,102.42
PROP-10197,2025-05-16,Bengaluru,Electronic City,Apartment,4,2043.1,1453.7,18,1,3,4,1,Semi-Furnished,North-East,Yes,2.77,20.29,8,36.7,8.9,9590,Builder,No,73300,175.99
PROP-10198,2025-06-11,Delhi NCR,Gurugram,Apartment,4,2289.3,1839.8,6,Ground,3,5,2,Semi-Furnished,North,Yes,4.01,7.88,5,73.2,7.7,8840,Broker,Yes,62900,198.58
PROP-10199,2026-04-02,Hyderabad,Manikonda,Apartment,2,819.8,597.5,6,18,19,2,1,Unfurnished,East,Yes,5.56,14.03,10,57.0,7.8,1890,Owner,Yes,32300,70.03
PROP-10200,2025-03-08,Chennai,Tambaram,Apartment,4,2874.8,2350.5,6,3,30,4,1,Furnished,South,No,4.2,2.03,6,18.3,7.5,9070,Broker,Yes,82000,236.44
PROP-10201,2026-03-22,Bengaluru,Marathahalli,Independent House,2,,699.3,18,1,1,1,2,,West,Yes,4.98,18.72,2,57.5,6.9,2890,Broker,Yes,39400,74.71
PROP-10202,2025-05-31,Hyderabad,Gachibowli,Villa,4,2710.1,2251.0,17,1st,1,4,0,Unfurnished,North-East,No,7.72,7.58,10,54.9,7.0,6740,Owner,Yes,101500,210.17
PROP-10203,2025-04-23,Bengaluru,HSR Layout,Apartment,3,1691.3,1246.5,20,13,20,3,3,Semi-Furnished,North-East,No,3.38,15.57,4,73.8,7.3,9110,Builder,Yes,82800,144.61
PROP-10204,2026-03-02,Chennai,Anna Nagar,Apartment,3,1397.3,1052.3,,3,9,3,2,Unfurnished,South-East,Yes,5.7,23.59,2,43.7,6.8,4930,Broker,Yes,44800,101.66
PROP-10205,2025-03-23,Delhi NCR,Ghaziabad,Independent House,3,1268.8,1050.1,11,Ground,2,3,1,Semi-Furnished,South-East,Yes,1.41,13.42,8,38.3,7.0,2710,Owner,Yes,45400,130.34
PROP-10206,2025-10-24,Delhi NCR,Dwarka,Apartment,1,320,268.9,17,5,5,2,2,Unfurnished,North,No,6.77,12.49,7,41.5,3.5,1460,Owner,No,13300,25.57
PROP-10207,2025-06-04,Chennai,Tambaram,Villa,4,2070.2,1584.0,8,1,1,5,0,Semi-Furnished,South,Yes,6.38,8.96,2,32.4,6.1,6000,Broker,Yes,79200,186.05
PROP-10208,2026-05-03,Chennai,Velachery,Apartment,4,2379.5,1987.3,7,7,10,4,2,Unfurnished,West,No,5.96,18.07,5,60.2,7.2,11580,Builder,Yes,67200,166.89
PROP-10209,2025-04-11,Chennai,Tambaram,Apartment,3,1382.1,1071.8,13,14,19,3,2,Furnished,South-East,No,8.13,18.45,5,58.4,5.1,7210,Broker,Yes,32400,95.83
PROP-10210,2025-05-05,Pune,Kharadi,Villa,4,1977.8,1414.3,3,Ground,1,3,0,Unfurnished,North,Yes,9.11,6.8,4,62.7,7.4,4590,Broker,Yes,69200,165.0
PROP-10211,2026-01-27,Hyderabad,Manikonda,Apartment,3,1841.5,1572.8,3,4,12,3,1,Furnished,South-East,Yes,10.45,13.14,11,64.5,5.2,5770,Builder,Yes,67500,145.93
PROP-10212,2025-02-08,Chennai,Velachery,Apartment,3,1544.5,,5,8,10,3,1,Semi-Furnished,West,Yes,3.48,15.67,9,45.8,6.7,3190,Owner,Yes,26700,102.76
PROP-10213,2025-12-15,Hyderabad,Madhapur,Independent House,3,891.4,684.9,7,Ground,1,2,1,,West,Yes,0.2,8.74,5,35.3,5.4,3760,Broker,Yes,27500,83.7
PROP-10214,2026-04-06,Pune,Kharadi,Apartment,5,3231.1,2581.4,7,15,23,4,2,Semi-Furnished,South,Yes,7.93,17.41,9,65.9,7.3,15430,Owner,Yes,122300,216.58
PROP-10215,2025-11-11,Hyderabad,Madhapur,Apartment,3,1684.9,1390.5,10,30,30,4,1,Semi-Furnished,North,Yes,7.83,21.42,7,60.5,5.7,4800,Owner,Yes,55900,130.14
PROP-10216,2026-01-14,Delhi NCR,Gurugram,Independent House,2,1199.1,922.7,11,2,4,2,1,Furnished,North-East,Yes,2.58,5.63,3,79.3,7.4,3810,Builder,Yes,37600,98.89
PROP-10217,2025-06-28,Bengaluru,Yelahanka,Apartment,2,1199.5,983.5,40,Ground,6,1,1,Unfurnished,South-East,Yes,3.73,24.02,12,45.5,4.2,3260,Owner,Yes,39500,49.3
PROP-10218,2025-06-30,Bengaluru,Whitefield,Apartment,3,1591.2,1181.6,15,6,34,4,1,Semi-Furnished,North-East,Yes,4.87,3.92,3,47.0,7.0,7620,Owner,No,55200,140.93
PROP-10219,2025-04-23,Delhi NCR,Gurugram,Apartment,2,893.7,,12,Ground,3,1,2,Unfurnished,North,Yes,10.03,23.4,11,22.2,8.1,3100,Broker,No,23500,81.82
PROP-10220,2025-08-14,Delhi NCR,Faridabad,Independent House,1,760.6,,17,1,4,1,1,Unfurnished,East,No,5.98,14.58,11,50.0,4.2,1820,Owner,Yes,30900,49.72
PROP-10221,2025-02-11,Pune,Hadapsar,Independent House,3,1359.4,1025.1,7,2,2,3,1,Semi-Furnished,South-East,No,4.85,20.97,3,58.7,4.0,3430,Owner,Yes,51900,111.27
PROP-10222,2026-02-20,Bengaluru,Marathahalli,Apartment,4,1733.4,1435.0,,1,1,4,1,Unfurnished,North,Yes,5.52,11.47,7,33.7,9.3,3610,Owner,Yes,79700,152.25
PROP-10223,2025-02-11,DELHI NCR,Faridabad,Villa,2,920.2,740.1,3,3,3,3,1,Semi-Furnished,South-East,Yes,8.74,5.73,0,7.0,6.8,3010,Builder,Yes,30100,122.65
PROP-10224,2025-10-27,Hyderabad,Kondapur,Apartment,2,1265.6,983.5,1,12,14,2,1,Furnished,North-East,Yes,0.45,13.07,5,47.7,4.9,6210,Owner,Yes,47900,111.23
PROP-10225,2025-01-22,Bengaluru,Whitefield,Apartment,4,2536.3,1806.3,13,Ground,5,4,1,Semi-Furnished,West,Yes,7.11,30.05,0,30.7,10,9880,Builder,Yes,85800,208.57
PROP-10226,2026-07-03,Hyderabad,Manikonda,Apartment,2,1197.6,888.3,5,28,34,2,1,Unfurnished,East,Yes,2.47,12.99,4,60.4,7.3,3880,Owner,Yes,48100,95.79
PROP-10227,2025-06-09,Delhi NCR,Noida,Apartment,2,1296.9,984.8,9,8,14,1,2,Furnished,South,Yes,2.9,12.47,4,44.6,7.5,6820,Broker,No,58500,109.62
PROP-10228,2025-08-16,Bengaluru,HSR Layout,Apartment,2,536.3,455.8,19,10,29,1,2,Furnished,South,Yes,,14.66,9,44.4,8.4,1250,Builder,Yes,20300,55.1
PROP-10229,2025-03-31,Chennai,Velachery,Apartment,3,1157.9,805.6,13,7,13,3,1,Semi-Furnished,North,No,3.6,16.54,6,31.4,7.1,3470,Owner,No,43300,108.75
PROP-10230,2025-05-21,Bengaluru,Marathahalli,Apartment,4,1777.9,1519.5,0,1st,6,4,3,Semi-Furnished,East,Yes,8.04,24.89,1,35.3,10,5260,Builder,Yes,66400,175.09
PROP-10231,2025-10-11,Delhi NCR,Dwarka,Apartment,1,752.3,552.7,0,7,30,1,2,Unfurnished,East,No,6.68,6.67,10,35.4,4.3,1980,Broker,Yes,15700,83.22
PROP-10232,2025-03-20,Bengaluru,Marathahalli,Apartment,4,2101.8,1666.8,0,1,33,4,1,Unfurnished,West,No,,16.25,4,49.2,3.9,11230,Builder,Yes,82700,184.79
PROP-10233,2026-07-27,Chennai,Velachery,Villa,4,2373.9,1749.3,15,2,3,4,0,Semi-Furnished,South,Yes,1.63,12.73,7,11.3,9.6,6100,Builder,Yes,86500,213.35
PROP-10234,2025-05-09,Pune,Hadapsar,Villa,4,1778.3,1342.8,12,1st,1,4,1,Semi-Furnished,North-East,Yes,3.97,17.73,4,40.2,10,4940,Broker,Yes,38300,173.22
PROP-10235,2025-10-12,Delhi NCR,Faridabad,Villa,4,2803.7,2288.7,28,Ground,1,4,0,Unfurnished,North,Yes,6.28,13.7,1,,6.5,14450,Builder,Yes,63400,221.28
PROP-10236,2026-01-24,Bengaluru,Yelahanka,Apartment,3,1684.8,1175.8,8,4,13,3,2,Semi-Furnished,South-East,Yes,4.54,15.36,11,60.5,4.1,4460,Owner,Yes,75600,146.28
PROP-10237,2026-05-03,Pune,Baner,Apartment,5,3186.2,2244.6,12,17,19,4,0,Semi-Furnished,West,Yes,2.5,9.93,7,,9.2,17360,Owner,Yes,115700,212.38
PROP-10238,2025-12-31,Pune,Hinjewadi,Apartment,3,1583.1,1269.3,15,2nd,7,3,1,Semi furnished ,West,Yes,7.05,19.42,4,20.1,7.5,6460,Broker,Yes,59200,86.22
PROP-10239,2026-05-20,Pune,Baner,Studio,1,584.1,445.0,9,3rd,4,1,0,Semi-Furnished,North,Yes,6.84,14.24,9,38.0,6.2,55846,Builder,Yes,19400,46.12
PROP-10240,2025-04-23,Bengaluru,HSR Layout,Apartment,4,2756.9,2143.0,23,6,8,4,1,Semi-Furnished,West,Yes,5.42,18.06,12,63.0,6.2,10260,Builder,Yes,96600,205.9
PROP-10241,2025-12-20,Bengaluru,Yelahanka,Villa,4,1431.6,1104.0,11,4,4,4,1,Semi-Furnished,East,Yes,5.79,13.87,5,26.7,9.9,3000,Broker,Yes,34400,175.19
PROP-10242,2025-07-30,Hyderabad,Kondapur,Apartment,3,1600.0,1350.2,15,2nd,2,3,2,Semi-Furnished,North-East,No,5.93,12.37,9,66.6,7.4,6390,Builder,Yes,47600,117.78
PROP-10243,2026-03-14,Bengaluru,HSR Layout,Apartment,2,1174.5,933.0,8,4,5,2,1,Unfurnished,North-East,Yes,,24.91,1,37.8,4.6,4780,Builder,Yes,42600,90.66
PROP-10244,2025-03-03,Bengaluru,HSR Layout,Apartment,3,1161.4,831.6,0,Ground,12,4,2,Semi-Furnished,South,Yes,7.46,20.9,4,8.3,9.5,4820,Broker,Yes,43300,126.9
PROP-10245,2026-03-23,Bengaluru,Electronic City,Apartment,3,1602.4,1208.0,0,5,5,3,2,Unfurnished,East,Yes,4.62,22.98,6,42.7,8.3,3360,Broker,Yes,56100,148.05
PROP-10246,2026-05-28,Hyderabad,Gachibowli,Apartment,4,2051.4,1638.2,16,1st,32,3,1,Unfurnished,North,No,10.57,7.95,10,50.4,7.2,10130,Broker,Yes,65000,129.65
PROP-10247,2025-11-21,Pune,Hadapsar,Independent House,4,2190.7,1583.5,26,2,3,4,2,Semi-Furnished,West,Yes,6.59,16.52,4,30.6,7.8,8900,Owner,Yes,82200,150.38
PROP-10248,2025-04-03,Hyderabad,Kondapur,Apartment,3,1583.0,1310.5,30,1st,4,3,1,Furnished,East,No,5.94,10.07,3,23.8,6.9,8210,Owner,No,38200,93.71
PROP-10249,2026-03-07,Chennai,Porur,Apartment,4,2683.1,2249.3,,25,27,3,1,Unfurnished,West,Yes,0.2,20.48,11,10.3,9.3,6310,Builder,Yes,50500,200.24
PROP-10250,2025-12-02,Bengaluru,Whitefield,Villa,4,1602.8,1142.9,,2,3,3,1,Semi-Furnished,South-East,No,6.44,19.59,12,22.0,7.7,8110,Builder,Yes,61000,136.8
PROP-10251,2026-04-10,hyderabad,Kukatpally,Apartment,2,792.8,620.5,25,2,15,2,1,Furnished,North,Yes,2.49,15.85,1,51.4,6.9,3160,Builder,Yes,29000,55.56
PROP-10252,2026-02-12,Hyderabad,Madhapur,Apartment,3,1557.3,1095.5,16,6,19,3,1,Semi-Furnished,North,Yes,1.29,12.78,3,64.1,5.1,5610,Builder,Yes,40100,125.99
PROP-10253,2025-04-02,Chennai,Anna Nagar,Villa,3,1630.2,1206.2,11,Ground,3,2,1,Semi-Furnished,East,No,3.97,10.22,8,51.7,6.0,4230,,Yes,45800,137.04
PROP-10254,2025-02-24,Hyderabad,Gachibowli,Studio,1,637.7,490.9,15,2,4,1,1,Semi-Furnished,East,Yes,4.35,9.63,11,45.8,10,1610,Broker,Yes,23700,48.53
PROP-10255,2026-08-21,Hyderabad,Kondapur,Apartment,2,994.7,854.6,1,3,3,3,1,Semi-Furnished,South-East,No,5.84,15.68,4,46.1,6.8,3760,,No,31900,108.52
PROP-10256,2026-04-09,Hyderabad,Gachibowli,Apartment,3,1562.3,1088.9,6,6,8,3,1,Furnished,East,Yes,7.18,25.02,10,56.7,4.4,4600,Owner,Yes,29800,108.9
PROP-10257,2025-11-14,Chennai,Tambaram,Apartment,4,2302.8,1896.7,3,2,25,4,1,Semi-Furnished,West,Yes,5.98,10.16,12,,8.9,12300,Builder,Yes,82300,175.52
PROP-10258,2025-10-25,Hyderabad,Madhapur,Apartment,3,1390.7,1167.3,0,25,28,3,1,Semi-Furnished,West,Yes,5.43,1.0,10,38.4,7.7,3540,Owner,Yes,42500,145.43
PROP-10259,2026-04-19,Hyderabad,Kukatpally,Apartment,5,2816.9,2041.6,3,4,4,4,2,Semi-Furnished,North-East,Yes,8.82,19.26,9,47.8,5.5,11410,Broker,Yes,100800,205.07
PROP-10260,2025-11-07,hyderabad,Madhapur,Apartment,3,1803.9,1472.5,0,3rd,12,4,1,Semi-Furnished,West,yes,6.65,16.98,2,42.3,6.0,6170,Owner,Yes,63900,129.38
PROP-10261,2026-03-09,Delhi NCR,Dwarka,Villa,5,2557.5,1779.5,0,Ground,2,4,2,Unfurnished,North,Yes,1.96,5.35,6,59.3,3.9,9940,Builder,Yes,61700,258.89
PROP-10262,2026-05-15,Chennai,Anna Nagar,Apartment,4,2396.8,1882.3,12,2nd,4,4,3,Furnished,South-East,Yes,8.89,10.41,0,5,4.9,9750,Owner,Yes,86500,180.39
PROP-10263,2025-05-15,Hyderabad,Gachibowli,Apartment,2,1418.1,1070.8,16,22,32,2,2,Unfurnished,East,No,,14.94,8,48.6,10,4520,Owner,Yes,47900,103.5
PROP-10264,2026-05-31,Bengaluru,HSR Layout,Villa,4,1811.7,1507.3,4,1st,4,4,1,Unfurnished,West,No,2.94,8.38,8,42.5,6.1,9210,Owner,Yes,81000,198.66
PROP-10265,2025-02-12,Hyderabad,Kukatpally,Apartment,2,848.2,728.5,5,2,3,3,1,Unfurnished,North,No,1.43,16.45,12,47.8,6.3,3510,Broker,No,32000,86.89
PROP-10266,2025-09-09,Hyderabad,Madhapur,Apartment,2,1132.2,859.8,0,10,24,2,1,Unfurnished,West,No,4.6,26.77,7,43.3,4.4,2600,Owner,Yes,30200,90.14
PROP-10267,2025-03-01,Chennai,Anna Nagar,Villa,3,987.3,831.0,,Ground,3,3,1,Unfurnished,North-East,No,7.27,16.59,12,44.9,6.3,4600,Owner,Yes,37600,110.55
PROP-10268,2025-07-22,Delhi NCR,Dwarka,Apartment,4,2111.3,1702.0,,Ground,23,4,2,Semi-Furnished,South,Yes,1.03,9.03,8,45.6,5.2,7490,Owner,Yes,79400,162.87
PROP-10269,2026-01-17,Hyderabad,Manikonda,Apartment,3,1541.0,1323.0,5,4,6,4,1,Unfurnished,South-East,Yes,10.6,15.68,9,40.4,10,4720,Owner,Yes,54800,123.93
